age;gender;loan_balance_0m
63;F;0
38;F;0
34;Ì;0
20;F;0
58;F;0
38;F;0
36;F;9774.27
51;Ì;1713891.41
51;F;148548.06
26;Ì;0
52;F;0
34;F;677754.45
55;Ì;0
34;;0
32;Ì;892756.03
27;Ì;0
70;F;0
33;F;0
33;F;0
26;F;0
56;F;0
45;F;0
34;F;0
25;F;0
36;F;208786.3
47;F;0
35;F;0
33;F;0
38;Ì;0
23;Ì;0
40;Ì;0
30;Ì;0
32;Ì;22999.48
38;Ì;0
35;Ì;0
49;Ì;0
56;Ì;0
67;Ì;0
44;Ì;0
61;Ì;0
61;Ì;0
50;F;0
58;F;0
41;F;292173.7
34;Ì;431549.4
24;F;0
60;F;117651.17
22;F;0
49;F;47508.2
39;Ì;814127.87
37;Ì;359610.65
54;F;0
29;Ì;0
31;F;0
54;F;0
63;F;129175.71
33;Ì;0
51;Ì;0
29;Ì;0
51;Ì;0
25;Ì;0
46;Ì;0
33;Ì;0
32;Ì;121735.86
40;F;0
53;F;0
49;Ì;0
24;Ì;0
42;F;0
34;F;0
62;Ì;0
60;Ì;0
22;Ì;0
42;F;476505.7
43;Ì;113426.11
62;Ì;0
41;Ì;0
29;F;0
36;F;129632.06
52;Ì;0
28;Ì;784497.6
66;Ì;0
42;F;430800.92
23;F;0
37;Ì;109318.36
52;F;0
30;Ì;396412.4
35;Ì;0
60;F;149427.62
36;Ì;0
40;F;0
35;F;0
60;Ì;83888.02
45;Ì;0
48;F;157695.85
52;F;0
29;F;0
28;Ì;0
44;Ì;828007.16
47;F;130566.33
45;Ì;0
44;Ì;130375.36
28;;0
33;;0
29;;0
54;Ì;0
33;Ì;25544.74
65;Ì;0
23;F;0
29;Ì;0
39;Ì;0
33;;0
61;F;309851.77
49;F;0
61;Ì;0
38;F;0
26;Ì;342142.39
37;Ì;551678.66
52;Ì;259597.39
45;Ì;0
38;F;0
43;F;14466.96
24;Ì;0
28;F;0
39;F;0
51;;0
62;Ì;0
39;Ì;0
34;Ì;0
27;Ì;0
40;F;206136.79
26;Ì;0
22;Ì;0
32;F;0
47;Ì;53020.41
26;F;0
27;Ì;0
53;F;0
29;F;0
41;Ì;0
52;F;315996.7
51;Ì;0
54;F;0
57;Ì;0
40;F;0
64;F;0
44;F;39991.96
33;Ì;0
35;Ì;0
29;Ì;277742.15
57;F;33716.99
40;F;0
35;F;0
28;Ì;481826.14
55;F;0
25;Ì;0
37;Ì;0
34;Ì;0
50;Ì;168295.88
34;F;0
26;;0
53;;0
16;Ì;0
27;Ì;0
46;;0
30;Ì;0
22;;0
59;Ì;0
20;F;0
52;Ì;0
28;Ì;135386.73
45;F;11337.27
35;F;0
58;Ì;533774.95
54;F;0
66;Ì;0
29;F;0
32;Ì;0
54;Ì;0
28;F;0
60;F;163541.02
44;Ì;0
33;Ì;782122.91
25;;0
49;F;0
48;Ì;0
26;Ì;446927.37
30;Ì;0
24;;0
36;F;0
58;F;0
52;Ì;0
34;F;310805.36
38;Ì;1164.48
40;F;84944.32
47;F;0
46;Ì;0
56;Ì;0
28;F;0
41;Ì;0
61;F;29894.79
23;Ì;0
32;Ì;0
32;Ì;0
52;Ì;0
36;F;0
29;Ì;1216062.48
57;Ì;0
58;F;0
26;Ì;134753.61
60;Ì;364796.44
45;Ì;0
49;Ì;540892.81
38;F;0
31;F;0
43;Ì;0
54;Ì;0
41;Ì;0
60;Ì;0
28;Ì;0
40;Ì;0
42;Ì;0
61;Ì;0
38;F;14460.05
39;F;0
32;Ì;0
26;Ì;0
67;F;0
39;F;0
40;F;138044.97
52;F;0
38;Ì;11976.88
64;F;0
32;Ì;0
32;Ì;0
48;Ì;642191.02
57;Ì;0
40;Ì;215048.56
20;Ì;0
36;Ì;0
32;F;0
56;F;20664.51
46;Ì;0
26;F;0
40;Ì;321007.09
36;F;0
53;F;0
32;F;26999.32
47;F;0
36;F;0
25;Ì;0
32;F;0
23;Ì;1351659.73
53;F;0
57;Ì;0
26;Ì;327262.1
60;Ì;0
32;Ì;0
23;F;0
28;F;175621.92
64;F;0
25;Ì;0
40;F;0
53;F;0
24;;0
29;Ì;0
29;Ì;0
33;F;0
27;F;0
32;F;0
59;Ì;0
67;F;0
49;Ì;0
36;Ì;0
40;F;0
31;F;279729.44
45;F;0
26;F;0
38;F;7243.97
36;F;0
36;F;0
27;F;0
27;F;27710.88
27;F;0
38;F;0
26;F;0
50;F;0
43;Ì;0
42;Ì;600090.34
37;F;0
51;F;0
37;F;42276.25
34;F;0
31;Ì;27980.72
47;Ì;0
24;Ì;0
33;Ì;663395.85
46;F;32527.9
37;F;0
48;F;0
41;;2093091.07
27;F;0
54;Ì;0
36;F;0
28;;0
30;Ì;0
55;F;1024262.14
41;Ì;0
38;F;0
44;F;0
26;F;0
28;F;0
40;Ì;0
34;F;72680.13
38;Ì;23715.38
38;F;0
38;Ì;25918.2
24;Ì;0
36;Ì;0
23;Ì;0
34;Ì;0
48;Ì;0
42;F;11616.37
30;Ì;0
45;Ì;0
46;Ì;0
27;F;234783.09
35;F;413710.51
39;F;0
56;F;0
49;Ì;0
30;F;654613.88
28;F;0
25;;0
24;F;13555.8
40;F;0
42;Ì;0
46;Ì;93040.02
21;Ì;0
46;F;798961.96
24;Ì;403819.67
55;Ì;0
52;F;0
51;F;0
56;Ì;0
49;Ì;0
32;F;0
28;F;0
29;F;0
44;Ì;0
28;F;0
23;F;0
24;F;0
47;F;0
61;Ì;0
49;Ì;0
56;Ì;34740.07
34;Ì;0
26;Ì;0
49;Ì;0
56;F;0
49;F;0
44;F;694593.73
8;F;0
28;F;0
43;F;0
48;F;36651.43
57;Ì;0
21;F;0
41;F;0
34;F;0
29;F;0
67;F;0
29;F;0
23;;0
32;F;0
47;F;0
72;F;0
46;F;229241.2
51;F;496684.9
60;F;0
33;F;0
40;Ì;0
48;Ì;0
74;Ì;0
27;Ì;0
63;Ì;146360.92
53;Ì;0
38;Ì;0
40;Ì;0
31;Ì;349747.62
32;Ì;0
45;Ì;0
48;Ì;195075.48
59;F;0
59;F;200859.4
43;F;277884.17
34;F;0
